List's Code,Word's Code,Spoken,1st Letter,Diacrtics,2nd Letter,Last Letter or Diacritics,1st Letter Code,Diacritics,2nd Letter Code,Last Letter Code or Diacritics,Last Code,Category,Syllable Code,Acronym/English,Acronym/Arabic,Syllable Description (Arabic),Syllable Description (English),Syllable Type,Commonness Score (Max. 5),Difficulty Score (Max. 5),Type of Word,Type of Word Code,Audio Clips' Links
L01,0001,____,_,_,_,_,20,____,10,10, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,2.00,2.22,___ ___,3.1,L01-0001.mp3
L01,0002,____,_,_,_,,29,____,7,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.05,4.72,___,2,L01-0002.mp3
L01,0003,____,_,_,_,_,13,____,22,22, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.09,5.00,___,2,L01-0003.mp3
L01,0004,____,_,_,_,_,20,____,24,24, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.23,4.44,___,2,L01-0004.mp3
L01,0005,____,_,_,_,_,26,____,10,10, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,2.09,4.17,___,2,L01-0005.mp3
L01,0006,____,_,_,_,,24,____,28,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,2.45,5.00,___,2,L01-0006.mp3
L01,0007,____,_,_,_,,22,____,24,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.18,4.72,___,1,L01-0007.mp3
L01,0008,_____,_,_,_,_,25,____,18,13,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.72,___,2,L01-0008.mp3
L01,0009,____,_,_,_,,22,____,28,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,2.18,3.89,___,1,L01-0009.mp3
L01,0010,____,_,_,_,,23,____,25,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.23,4.72,___,1,L01-0010.mp3
